id|input_file|expected_stdout|expected_stderr|expected_exit_code|runner_modes|command_count|command_kind|support_status|syntax_family|reject_stage|status_category|reason_unknown|diagnostic|z3_expected|z3_diff_reason|allow_unsupported|allow_unknown|normalization
z3_arch_bool_incremental|smt2/z3_arch_bool_incremental.smt2|smt2/z3_arch_bool_incremental.expected.out||0|parser-runner,file-shell,interactive-shell|8|incremental|supported-success|Bool|none|sat-after-pop|none|none|same|none|false|false|exact
z3_arch_assumptions_core|smt2/z3_arch_assumptions_core.smt2|smt2/z3_arch_assumptions_core.expected.out||0|parser-runner,file-shell,interactive-shell|5|assumptions-core|supported-success|Bool|none|unsat-assumptions|none|none|same|none|false|false|exact
z3_arch_let_bool|smt2/z3_arch_let_bool.smt2|smt2/z3_arch_let_bool.expected.out||0|parser-runner,file-shell,interactive-shell|4|let-bool|supported-success|Bool|none|let-bool-unsat|none|none|same|none|false|false|exact
z3_arch_let_euf|smt2/z3_arch_let_euf.smt2|smt2/z3_arch_let_euf.expected.out||0|parser-runner,file-shell,interactive-shell|7|let-euf|supported-success|EUF|none|let-euf-unsat|none|none|same|none|false|false|exact
z3_arch_define_fun_bool|smt2/z3_arch_define_fun_bool.smt2|smt2/z3_arch_define_fun_bool.expected.out||0|parser-runner,file-shell,interactive-shell|5|define-fun-bool|supported-success|Bool|none|define-fun-bool-macro|none|none|same|none|false|false|exact
z3_arch_model_eval|smt2/z3_arch_model_eval.smt2|smt2/z3_arch_model_eval.expected.out||0|parser-runner,file-shell,interactive-shell|7|model-eval|supported-success|Bool|none|sat-model-value-eval|none|none|same|none|false|false|exact
z3_arch_eval_completion|smt2/z3_arch_eval_completion.smt2|smt2/z3_arch_eval_completion.expected.out||0|parser-runner,file-shell,interactive-shell|6|eval-completion|supported-success|EUF|none|eval-completion-false-true|none|error:model-eval-failed|different|z0-eval-completion-default-fails-partial-uf|false|false|exact
z3_arch_eval_availability|smt2/z3_arch_eval_availability.smt2|smt2/z3_arch_eval_availability.expected.out||0|parser-runner,file-shell,interactive-shell|7|eval-availability|supported-success|Bool|none|eval-disabled-no-current-success|no-current-result|error:model-production-disabled|different|z0-eval-availability-text|false|false|exact
z3_arch_model_query_availability|smt2/z3_arch_model_query_availability.smt2|smt2/z3_arch_model_query_availability.expected.out||0|parser-runner,file-shell,interactive-shell|7|model-query-availability|supported-success|EUF|none|model-query-unavailable|no-current-result|error:model-value-eval-unavailable|different|z0-model-eval-unavailable-text|false|false|exact
z3_arch_model_query_stale|smt2/z3_arch_model_query_stale.smt2|smt2/z3_arch_model_query_stale.expected.out||0|parser-runner,file-shell,interactive-shell|11|model-query-stale|supported-success|Bool|none|model-query-stale|stale|error:model-value-eval-stale|different|z0-stale-query-text|false|false|exact
z3_arch_model_repeated_scoped|smt2/z3_arch_model_repeated_scoped.smt2|smt2/z3_arch_model_repeated_scoped.expected.out||0|parser-runner,file-shell,interactive-shell|12|model-repeated-scoped|supported-success|Bool|none|multiple-model-queries-scopes|none|none|same|none|false|false|exact
z3_arch_model_euf_constants|smt2/z3_arch_model_euf_constants.smt2|smt2/z3_arch_model_euf_constants.expected.out||0|parser-runner,file-shell,interactive-shell|8|model-euf-constants|supported-success|EUF|none|model-universe-constants|none|none|different|z0-model-universe-format|false|false|exact
z3_arch_model_partial_unary_uf|smt2/z3_arch_model_partial_unary_uf.smt2|smt2/z3_arch_model_partial_unary_uf.expected.out||0|parser-runner,file-shell,interactive-shell|9|model-partial-unary-uf|supported-success|EUF|none|model-partial-function|none|none|different|z0-uses-unspecified-default|false|false|exact
z3_arch_get_value_partial_uf_completion|smt2/z3_arch_get_value_partial_uf_completion.smt2|smt2/z3_arch_get_value_partial_uf_completion.expected.out||0|parser-runner,file-shell,interactive-shell|10|get-value-partial-uf-completion|supported-success|EUF|none|get-value-completion|none|none|different|z0-completes-undefined-uf-application|false|false|exact
z3_arch_proof_modes|smt2/z3_arch_proof_modes.smt2|smt2/z3_arch_proof_modes.expected.out||0|parser-runner,file-shell,interactive-shell|12|proof-modes|supported-success|Bool|none|proof-disabled-enabled|none|none|different|z0-uses-proof-skeleton-text|false|false|exact
z3_arch_proof_availability|smt2/z3_arch_proof_availability.smt2|smt2/z3_arch_proof_availability.expected.out||0|parser-runner,file-shell,interactive-shell|8|proof-availability|supported-success|Bool|none|proof-no-current-wrong-stale|no-current-result/wrong-result/stale|error:proof-unavailable|different|z0-proof-availability-text|false|false|exact
z3_arch_unsat_query_availability|smt2/z3_arch_unsat_query_availability.smt2|smt2/z3_arch_unsat_query_availability.expected.out||0|parser-runner,file-shell,interactive-shell|12|unsat-query-availability|supported-success|Bool|none|unsat-query-no-current-wrong-stale|no-current-result/wrong-result/stale|error:unsat-query-unavailable|different|z0-unsat-query-availability-text|false|false|exact
z3_arch_unknown_unsupported|smt2/z3_arch_unknown_unsupported.smt2|smt2/z3_arch_unknown_unsupported.expected.out||0|parser-runner,file-shell,interactive-shell|5|unsupported-fragment|explicit-unsupported|quantifier|parser|unsupported-fragment|unsupported-fragment|unsupported:quantifiers|different|phase-limited-quantifiers|true|false|exact
z3_arch_unsupported_array_sort|smt2/z3_arch_unsupported_array_sort.smt2|smt2/z3_arch_unsupported_array_sort.expected.out||0|parser-runner,file-shell,interactive-shell|1|unsupported-array-sort|explicit-unsupported|array|sort-check|unsupported-fragment|unsupported-fragment|unsupported:arrays|different|phase-limited-arrays|true|false|exact
z3_arch_unsupported_array_select_store|smt2/z3_arch_unsupported_array_select_store.smt2|smt2/z3_arch_unsupported_array_select_store.expected.out||0|parser-runner,file-shell,interactive-shell|1|unsupported-array-select-store|explicit-unsupported|array|parser|unsupported-fragment|unsupported-fragment|unsupported:arrays|different|z0-reserves-array-operators-before-uf-lookup|true|false|exact
z3_arch_unsupported_bv_sort|smt2/z3_arch_unsupported_bv_sort.smt2|smt2/z3_arch_unsupported_bv_sort.expected.out||0|parser-runner,file-shell,interactive-shell|1|unsupported-bv-sort|explicit-unsupported|bv|sort-check|unsupported-fragment|unsupported-fragment|unsupported:bit-vectors|different|phase-limited-bit-vectors|true|false|exact
z3_arch_unsupported_bv_literal|smt2/z3_arch_unsupported_bv_literal.smt2|smt2/z3_arch_unsupported_bv_literal.expected.out||0|parser-runner,file-shell,interactive-shell|1|unsupported-bv-literal|explicit-unsupported|bv|parser|unsupported-fragment|unsupported-fragment|unsupported:bit-vectors|different|phase-limited-bit-vectors|true|false|exact
z3_arch_unsupported_bv_indexed_op|smt2/z3_arch_unsupported_bv_indexed_op.smt2|smt2/z3_arch_unsupported_bv_indexed_op.expected.out||0|parser-runner,file-shell,interactive-shell|1|unsupported-bv-indexed-op|explicit-unsupported|bv|parser|unsupported-fragment|unsupported-fragment|unsupported:bit-vectors|different|phase-limited-bit-vectors|true|false|exact
